"artist_full_name","art_title","art_location_name","art_location_street_address","art_location_city","art_location_state","art_location_zip","art_full_address","art_location_long","art_location_lat"
"T. Paul Hernandez","Opossum Temple and Voodoo Pew","Town Lake Hike and Bike Trail","Possum Point - North Bank at Shoal Creek;","Austin","TX",78701,"North Bank at Shoal Creek Austin TX 78701",-97.744097,30.3041251
"Jack L.Schuller","Crumley's Market","Austin City Hall & Public Plaza","300 Cesar Chavez Street;","Austin","TX",NA,"300 Cesar Chavez Street Austin TX ",-97.7418527,30.2628754
"Nobuho Nagasawa","Seeding Time","Austin City Hall & Public Plaza","300 Cesar Chavez Street;","Austin","TX",NA,"300 Cesar Chavez Street Austin TX ",-97.7418527,30.2628754
"Steve Wiman","Community Core Sample Project","St. John's Multipurpose Center","Corner of Blessing and Wheatly Ave.;","Austin","TX",NA,"Corner of Blessing and Wheatly Ave. Austin TX ",-97.6922599,30.3331577
"Joe Perez","Lou Neff Point Gazebo","Town Lake Hike and Bike Trail","South Bank at Barton Creek;","Austin","TX",78704,"South Bank at Barton Creek Austin TX 78704",-97.7909992,30.2399123
"Rosario  Marquardt","Open Room Austin","Sand Beach Park",";","Austin","TX",78701," Austin TX 78701",-97.7443863,30.2729209
"Steven Rendon","Signs of the Times","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
"Terese M.St. Arnauld","The Cyclist","Health and Human Services Administration","7201 Levander Loop;","Austin","TX",78702,"7201 Levander Loop Austin TX 78702",-97.6904186,30.2527847
"Nan StandishBlake","Connected","Health and Human Services Administration","7201 Levander Loop;","Austin","TX",78702,"7201 Levander Loop Austin TX 78702",-97.6904186,30.2527847
"T. Paul Hernandez","Snake Culvert","Central Access Television Facility","1143 Northwestern Ave.;","Austin","TX",78702,"1143 Northwestern Ave. Austin TX 78702",-97.7159391,30.2694977
"Young-Min Kang","Austin Downtown Cruiser (Day)","Austin-Bergstrom International Airport","3600 Presidential Blvd.;","Austin","TX",78719,"3600 Presidential Blvd. Austin TX 78719",-97.666829,30.2021489
"Pat Wilie","On the Green","Roy Kizer Golf Course","5400 Jimmy Clay Dr.;","Austin","TX",78744,"5400 Jimmy Clay Dr. Austin TX 78744",-97.7319198,30.1839103
"David Newton","Spirit of Hope","Millennium Youth Entertainment Complex","1156 Hargrave St.;","Austin","TX",78702,"1156 Hargrave St. Austin TX 78702",-97.7108869,30.2719082
"Fidencio Duran","The Visit","Austin-Bergstrom International Airport","3600 Presidential Blvd.;","Austin","TX",78719,"3600 Presidential Blvd. Austin TX 78719",-97.666829,30.2021489
"W. Gary Smith","Karst Circle","Circle C Fire/EMS Station","11401 Escarpment Blvd.;","Austin","TX",78749,"11401 Escarpment Blvd. Austin TX 78749",-97.897569,30.1829341
"Ryah Christensen","Door/Not Door","East Side Hike and Bike Trail",";","Austin","Texas",78702," Austin Texas 78702",-97.7145152,30.2603535
"Elena Eidelberg","Big Snake","Austin Nature & Science Center","301 Nature Center Dr.;","Austin","TX",78746,"301 Nature Center Dr. Austin TX 78746",-97.774959,30.2721352
"Elementary School Children From Dove Springs Area","Untitled","Southeast Austin Community Branch","5803 Nuckols Crossing;","Austin","TX",78744,"5803 Nuckols Crossing Austin TX 78744",-97.7419605,30.1876224
"Glenna Goodacre","Philosophers Rock","Zilker Park (Barton Springs Pool)","2201 Barton Springs Rd.;","Austin","TX",78704,"2201 Barton Springs Rd. Austin TX 78704",-97.7706985,30.2636355
"Lars A.Stanley","Fire in the Heart","Firestation #17","4123 South First St.;","Austin","TX",78745,"4123 South First St. Austin TX 78745",-97.7704887,30.2244313
"Roberto Behar","Open Room Austin","Sand Beach Park",";","Austin","TX",78701," Austin TX 78701",-97.7443863,30.2729209
"John Christensen","The Source","Waller Creek Center","625 East 10th Street;","Austin","TX",78701,"625 East 10th Street Austin TX 78701",-97.7347146,30.2696169
"Ambray Gonzales","Reach for your Dreams","Montopolis Youth Sports Complex","1200 Montopolis Drive;","Austin","TX",NA,"1200 Montopolis Drive Austin TX ",-97.6998885,30.2322294
"Joe Arellano","The Children are the Future","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
